technique,profile,stream,run,wall_clock_s,success,error
baseline,standard,false,1,9,true,
baseline,standard,false,2,9,true,
baseline,standard,false,3,9,true,
baseline,standard,true,1,10,true,
baseline,standard,true,2,9,true,
baseline,standard,true,3,11,true,
chunked-prefill,optimized,false,1,10,true,
chunked-prefill,optimized,false,2,9,true,
chunked-prefill,optimized,false,3,9,true,
chunked-prefill,optimized,true,1,9,true,
chunked-prefill,optimized,true,2,9,true,
chunked-prefill,optimized,true,3,10,true,
chunked-prefill+prefix-caching+large-batch,hardcore,false,1,10,true,
chunked-prefill+prefix-caching+large-batch,hardcore,false,2,10,true,
chunked-prefill+prefix-caching+large-batch,hardcore,false,3,9,true,
chunked-prefill+prefix-caching+large-batch,hardcore,true,1,10,true,
chunked-prefill+prefix-caching+large-batch,hardcore,true,2,9,true,
chunked-prefill+prefix-caching+large-batch,hardcore,true,3,10,true,
